,id,name,fans,性别,星座,出生日期,出生地,职业,更多外文名,更多中文名,家庭成员,imdb编号,生卒日期,去世日期
41,1001890,巩新亮 Xinliang Gong,851,,天秤座,1987年10月11日,"中国,甘肃,平凉",演员 / 配音,Miumiu,,,,,
42,1001955,李作楠 Tso Nam Lee,41,男,白羊座,1943年03月21日,"中国,贵州",导演 / 副导演 / 编剧 / 制片人 / 演员,Tso-nan Li / Lee Tso Nam,,,,,
43,1002520,马修·汤姆森 Matthew Thompson,0,,白羊座,1976年04月14日,"美国,加利福尼亚州,洛杉矶",编剧 / 导演 / 演员,Matthew W. Thompson / Matt Thompson,,,,,
44,1002665,艾德里安·布洛迪 Adrien Brody,73407,男,白羊座,1973年04月14日,"美国,纽约州,纽约市",演员 / 制片人 / 配音 / 音乐 / 编剧,The Amazine Adrien (曾用名),阿德里安·布劳迪 / 亚德里安·布罗迪 / 阿德里恩·布洛迪 / 艾哲倫保迪(港),艾略特·布劳迪(父) / 西尔维娅·普拉奇(母) / 米歇儿·杜邦(女友) / Lara Lieto(女友),,,
45,1002676,罗宾·怀特 Robin Wright,9121,女,白羊座,1966年04月08日,"美国,得克萨斯州,达拉斯",演员 / 导演 / 制片人 / 配音,Robin Virginia Gayle Wright (本名),罗宾·怀特·潘 / 萝苹莱特潘 / 罗宾·莱特·潘,Clement Giraudet(夫),,,
46,1002679,丹尼斯·奎德 Dennis Quaid,2392,男,白羊座,1954年04月09日,"美国,得克萨斯州,休斯敦",演员 / 配音 / 导演 / 制片人 / 编剧,Dennis William Quaid (本名),丹尼斯奎尔（台/港）,梅格·瑞安(前妻),,,
47,1002685,史蒂文·西格尔 Steven Seagal,1049,男,白羊座,1951年04月10日,"美国,密歇根州,兰辛",演员 / 制片人 / 编剧 / 导演 / 动作特技,Steven F. Seagal (本名) / The Master of Aikido (昵称) / Lord Steven (昵称) / The Great One (昵称),史蒂文·史葛 / 斯蒂芬·西格尔 / 史蒂文·席格,前妻：凯莉·勒布洛克 (1987年9月5日－1996年) 已离异 / 子女：与前妻育有3个孩子,,,
48,1002772,巴里·索南菲尔德 Barry Sonnenfeld,982,男,白羊座,1953年04月01日,"美国,纽约",导演 / 制片人 / 摄影 / 演员 / 编剧,,,,,,
49,1002862,曾志伟 Eric Tsang,5019,男,白羊座,1953年04月14日,"中国,香港",演员 / 制片人 / 导演 / 编剧 / 副导演,,,曾宝仪(女) / 曾国祥(子),,,
50,1002908,王羽 Yu Wang,958,男,白羊座,,"中国,上海",演员 / 导演 / 制片人 / 编剧 / 美术,Jimmy Wang Yu,王正权(本名),王馨平(女),,1943年03月28日 至 2022年4月5日,
51,1002998,张峻宁 Junning Zhang,776,男,白羊座,1985年03月22日,"中国,江苏,南京",演员 / 配音,,张玮(本名),,,,
52,1003156,王童 Toon Wang,4034,男,白羊座,1942年04月04日,"中国,安徽,太和",美术 / 导演 / 演员 / 制片人 / 服装,,王中和,王仲廉(父),,,
53,1003481,米拉·库尼斯 Mila Kunis,9380,,狮子座,1983年08月14日,"乌克兰,切尔诺夫策",演员 / 配音 / 化妆,Milena Markovna Kunis(本名),米娜·古妮丝 / 米拉·库妮丝,Ashton Kutcher(夫) / Wyatt Isabelle Kutcher(女),,,
54,1003482,保罗·贝坦尼 Paul Bettany,8500,男,双子座,1971年05月27日,"英国,哈勒斯登",演员 / 配音 / 编剧 / 导演,,保罗·贝特尼(别名),詹妮弗·康纳利(妻),,,
55,1003484,丹尼尔·雷德克里夫 Daniel Radcliffe,13811,男,狮子座,1989年07月23日,"英国,伦敦,富勒姆",演员 / 配音,Daniel Jacob Radcliffe(本名) / Dan(昵称) / Danny(昵称) / Daniel(昵称),丹尼尔·雅各布·雷德克里弗(本名) / 丹尼尔·域卡夫(港) / 丹(昵称) / 蛋妞(昵称),罗赞·库克(前女友) / Alan Radcliffe(父) / Marcia Radcliff(母) / Erin Darke(女友),,,
56,1003495,张柏芝 Cecilia Cheung,13706,女,双子座,1980年05月24日,"中国,香港",演员 / 配音 / 制片人,Cheung Pak-Chi / CC(昵称),张百知 / 张栢芝,张仁勇(父) / Davies Shally(母) / 谢振南(子) / 谢振轩(子) / 谢霆锋(前夫),,,
57,1004530,田原 Yuan Tian,2957,女,白羊座,1985年03月30日,"中国,湖北,武汉",演员 / 编剧 / 导演,,田沅 / 赵田原,,,,
58,1004565,爱丽丝·伊芙 Alice Eve,3533,女,水瓶座,1982年02月06日,"英国,伦敦",演员 / 导演 / 制片人,Alice Sophia Eve (本名),,Trevor Eve(父) / Sharon Maughan(母) / Alex Cowper-Smith(夫),,,
59,1004566,麦克·辛 Michael Sheen,8197,男,水瓶座,1969年02月05日,"英国,威尔士,格温特郡,新港",演员 / 配音 / 制片人 / 导演 / 编剧,,麦克·什恩 / 迈克尔·西恩 / 迈克尔·什恩 / 迈克尔·辛 / 迈克·辛,莉莉·莫·辛(女) / Anna Lundberg(女友) / 萨拉·西尔弗曼(前女友) / 瑞秋·麦克亚当斯(前女友) / 凯特·贝金赛尔(前女友),,,
60,1004584,蕾切尔·勒费夫尔 Rachelle Lefevre,2174,女,水瓶座,1979年02月01日,"加拿大,魁北克省,蒙特利尔",演员 / 配音,Rachelle Marie Lefevre (本名),蕾切尔·李费佛 / 丽雪拉菲芙(港),,,,
61,1004593,雷恩·威尔森 Rainn Wilson,471,男,水瓶座,1966年01月20日,"美国,华盛顿,西雅图",演员 / 配音 / 导演 / 编剧,Rainn Dietrich Wilson (本名),,,,,
62,1004596,汤姆·希德勒斯顿 Tom Hiddleston,47932,,水瓶座,1981年02月09日,"英国,伦敦,威斯敏斯特",演员 / 配音 / 制片人,Thomas William Hiddleston (本名),抖森(昵称) / TH(昵称) / 汤·希丹士顿(港) / 汤姆·希德尔斯顿,Sarah Hiddleston(姐) / Emma Hiddleston(妹) / James Norman Hiddleston(父) / Diana Patricia Servaes(母) / Zawe Ashton(未婚妻),,,
63,1004643,托尼·贾 Tony Jaa,2994,男,水瓶座,1976年02月05日,"泰国,苏林",演员 / 动作特技 / 导演 / 制片人 / 编剧,Panom Worawit (本名) / ทัชชกร ยีรัมย์,东尼·嘉,,,,
64,1004702,马赫沙拉·阿里 Mahershala Ali,9270,男,水瓶座,1974年02月16日,"美国,加利福尼亚州,奥克兰",演员 / 配音 / 编剧,Mahershalalhashbaz Gilmore (本名) / Ali (昵称) / Mahershalalhashbaz Ali,马赫莎拉哈什巴兹·阿里 / 马赫尔沙拉勒哈什巴兹·吉尔摩 / 马赫尔沙拉勒哈什巴兹·阿里,Amatus-Sami Karim(妻) / Bari Najma(女),,,
65,1004741,维克多·韦伯斯特 Victor Webster,106,男,水瓶座,1973年02月07日,"加拿大,卡尔加里",演员,Victor H. Webster (本名),,,,,
66,1004773,邬君梅 Vivian Wu,4778,女,水瓶座,1966年02月05日,"中国,上海",演员 / 制片人,Wu Jun Mei (本名),,无,,,
67,1004856,孙俪 Li Sun,9580,,天秤座,1982年09月26日,"中国,上海",演员 / 其它,Sun Li / Betty Sun,小荔枝(昵称),邓超(夫),,,
68,1004858,王菲 Faye Wong,21740,女,狮子座,1969年08月08日,"中国,北京",演员 / 音乐 / 配音,Shirley Wong,夏林(曾用名) / 王靖雯(艺名),李亚鹏(夫) / 窦靖童(女儿) / 李嫣(女儿) / 窦唯(前夫),,,
69,1004891,梅尔维尔·珀波 Melvil Poupaud,7991,男,水瓶座,1973年01月26日,"法国,巴黎",演员 / 导演 / 编剧 / 摄影 / 音乐,,梅尔维·珀波 / 梅尔维尔·普波 / 梅维尔·普普(港),,,,
70,1004932,蒂姆·海德克 Tim Heidecker,22,,水瓶座,1976年02月03日,"美国,宾夕法尼亚州,阿伦敦",演员 / 编剧 / 制片人 / 导演 / 配音,Tim and Eric / Timothy Heidecker,,,,,
71,1005064,岩井俊二 Shunji Iwai,45905,,水瓶座,1963年01月24日,"日本,宫城,仙台",导演 / 编剧 / 制片人 / 剪辑 / 音乐,San Amino / いわい しゅんじ(假名) / Iwai Shunji,,矶谷有希(妻子),,,
72,1005110,黄圣依 Eva Huang,3571,,水瓶座,1983年02月11日,"中国,上海",演员 / 制片人,,无,杨子(夫) / 杨安迪(子),,,
73,1005138,钟欣潼 Gillian Chung,6996,,水瓶座,1981年01月21日,中国香港,演员,Chung Ka Lai(本名) / Ar-Gill(昵称) / Gillian Chung Yun Tung,钟欣桐 / 阿娇(花名) / 钟小娇(昵称) / 钟嘉励(本名) / 锺狄珊(原名),妈妈 妹妹,,,
74,1005185,安雅 Anya,1227,,水瓶座,1977年02月17日,"中国,台湾",演员,Anya Wu (本名),吴安雅(本名),孔众(夫) / 孔垂燊(子),,,
75,1005214,林心如 Ruby Lin,4610,,水瓶座,1976年01月27日,"中国台湾,台北",演员 / 制片人 / 配音,Dolphin (昵称) / Lao Da (昵称) / Ruby (昵称) / Lin Xiao Jie (昵称) / Ruby Lin Xin Yu (本名),海豚,霍建华(夫),,,
76,1005268,许晴 Qing Xu,9248,女,水瓶座,1969年01月22日,"中国,北京",演员 / 配音 / 主持人 / 导演,Summer,,王志文(前男友) / 刘波(前男友),,,
77,1005319,陆川 Chuan Lu,5307,男,水瓶座,1971年02月08日,"中国,新疆",导演 / 编剧 / 制片人 / 演员 / 配音,,,陆天明(父) / 陆星儿(姑妈) / 胡蝶(妻),,,
78,1005331,李心洁 Angelica Lee,3732,,水瓶座,1976年01月23日,马来西亚,演员 / 配音 / 制片人,Lee Sin Je (本名),小洁 / 靓妹,彭顺(夫),,,
79,1005415,钱小豪 Siu-hou Chin,3039,男,水瓶座,1963年01月26日,中国香港,演员 / 导演,Siu-ho Chin,钱嘉华,钱嘉乐(弟) / 庞景峰(子),,,
80,1005537,叶璇 Michelle Ye,3289,,水瓶座,1980年02月14日,"中国,浙江,杭州",演员 / 编剧 / 制片人,Shuen Yip (本名),阿璇(昵称) / 小璇子(昵称) / 海马(昵称),,,,
81,1005636,刘永 Anthony Liu,266,男,水瓶座,1952年02月07日,中国香港,演员 / 导演,Wing Lau,刘添爵(本名) / 刘勇,黎雯(母),,,
82,1005773,克里斯蒂安·贝尔 Christian Bale,66543,男,水瓶座,1974年01月30日,"英国,威尔士,彭布罗克郡,哈弗福德韦斯特",演员 / 配音 / 制片人,Christian Charles Philip Bale(本名),克里斯琴·贝尔 / 克里斯汀·贝 / 克里斯汀·查尔斯·菲力普·贝尔(本名) / 基斯頓比爾(港),珊卓拉·席比·布莱希(妻) / 艾玛琳·贝尔(女儿) / 约瑟夫·贝尔(儿子) / 大卫·贝尔(父) / 珍妮·詹姆斯(母) / 露意丝·贝尔(姐),,,
83,1005843,张兆辉 Siu-Fai Cheung,1427,男,水瓶座,1963年02月04日,"中国,香港",演员 / 配音,Eddie Cheung / Cheung Siu Fai / Eddie Cheung Siu Fai / Eddie Cheung Siu-Fai,,郭碧妍(妻) / 张焯铿(儿子) / 张卓姿(女儿),,,
84,1005924,艾米丽·卡迈克尔 Emily Carmichael,27,女,水瓶座,1982年01月27日,"美国,纽约",编剧 / 导演 / 剪辑 / 演员 / 制片人,Emily Jane Carmichael (本名),,,,,
85,1005959,加护亚依 Ai Kago,454,女,水瓶座,1988年02月07日,"日本,奈良",演员 / 配音,Aibon (昵称),加護亜依,,,,
86,1005985,赵涛 Tao Zhao,3763,女,水瓶座,1977年01月28日,"中国,山西,太原",演员 / 制片人 / 编剧,,,贾樟柯(夫),,,
87,1006013,钟淑慧 Lily Chung,802,女,水瓶座,1964年02月04日,马来西亚,演员,Suk-Wai Chung,鍾淑慧,吴岱融(夫),,,
88,1006103,福山雅治 Masaharu Fukuyama,14708,男,水瓶座,1969年02月06日,"日本,长崎",演员 / 音乐 / 配音 / 制片人,ましゃ(昵称) / Masha(昵称) / Masha-nii(昵称) / Fuku-chan(昵称) / ふくやま まさはる(假名) / Fukuyama Masaharu,,吹石一惠(妻) / 内田有纪(前女友),,,
89,1006142,恬妞 Niu Tien,1410,女,水瓶座,1958年01月23日,"中国,台湾",演员,Kai-Li Chu (本名),朱凯莉,恬妮(姐姐) / 岳华(姐夫) / 万梓良(前夫) / 叶聪豪(前夫),,,
90,1006171,谢宛谕 Fiona Xie,138,,水瓶座,1982年01月24日,新加坡,演员,Fiona Xie Wan Yu (本名),,,,,
91,1006188,杨爱瑾 Miki Yeung,647,,水瓶座,1985年02月14日,中国香港,演员 / 配音,Oi-gan Yeung,,郭永淳（夫） / Luken（子） / Emma（女）,,,
92,1006330,东野圭吾 Keigo Higashino,38177,男,水瓶座,+1958年02月04日,"日本,大阪",编剧 / 演员,ひがしの けいご(假名) / Higashino Keigo,東野圭吾,,,,
93,1006351,霍建起 Jianqi Huo,1599,男,水瓶座,1958年01月20日,"中国,北京",导演 / 美术 / 制片人 / 编剧,,,,,,
94,1006480,张茜 Jess Zhang,468,女,水瓶座,1974年02月18日,"中国,江苏,常州",演员,Qian Zhang,,张卫健(夫),,,
95,1006702,王超 Chao Wang,512,,水瓶座,1964年01月21日,"中国,江苏,南京",导演 / 编剧 / 制片人 / 剪辑 / 演员,,,,,,
96,1006795,马景涛 Steve Ma,1553,男,水瓶座,1962年02月14日,"中国,台湾,台中",演员,Ching Tao Ma,小马哥 (昵称) / 咆哮马 (昵称) / 咆哮帝（昵称）,马世嫒 (长女) / 马世天 (长子) / 马世心 (次子),,,
97,1006852,杜德伟 Alex To,422,,水瓶座,1962年02月10日,中国香港,演员 / 其它,Dewei Du / Tak-Wai To / Alex Tu,杜老爷,李晓冰（妻）,,,
98,1006919,帕特里克·威尔森 Patrick Wilson,8809,男,巨蟹座,1973年07月03日,"美国,弗吉尼亚,诺福克",演员 / 配音 / 导演 / 制片人,Patrick Joseph Wilson (本名),,Dagmara Dominczyk(妻) / Kalin Patrick (长子) / Kassian McCarrel(次子),,,
99,1006964,欧文·威尔逊 Owen Wilson,6766,男,天蝎座,1968年11月18日,"美国,得克萨斯,达拉斯",演员 / 配音 / 制片人 / 编剧,Owen Cunningham Wilson(本名) / O(昵称),欧文·威尔森,安德鲁·威尔森(兄) / 卢克·威尔逊(弟),,,
100,1006977,雷·温斯顿 Ray Winstone,406,男,双鱼座,1957年02月19日,"英国,伦敦,哈克尼",演员 / 制片人 / 配音,Ray Winston / Raymond Winstone,,Elaine McCausland（妻）,,,
101,1006984,胡凯莉 Kelly Hu,2978,,水瓶座,1968年02月13日,"美国,夏威夷,檀香山",演员 / 配音,Kelly Ann Hu (本名),,,,,
102,1006991,鲁特格尔·哈尔 Rutger Hauer,1911,男,水瓶座,,"荷兰,乌得勒支,布勒克伦",演员 / 导演 / 制片人 / 配音 / 编剧,Rutger Oelsen Hauer (本名) / The Dutch Paul Newman (昵称),鲁格·豪尔 / 特格尔·哈尔 / 鲁特格尔·豪尔,,,1944年01月23日 至 2019年07月19日,
103,1007011,艾迪·伊扎德 Eddie Izzard,129,,水瓶座,1962年02月07日,也门亚丁,演员 / 编剧 / 配音 / 制片人,Edward John Izzard (本名),,,,,
104,1007097,范文芳 Fann Wong,2588,,水瓶座,1971年01月27日,新加坡,演员 / 配音,ฟ่านเหวินฟาง / Princess (昵称) / Fann Woon Fong (本名) / Shopping Queen (昵称) / 범문방 / ファン・ウォン / Фэнн Вонг,范雯芳 / 宝贝,李铭顺(夫),,,
105,1007152,徐克 Hark Tsui,24465,男,水瓶座,1950年02月15日,"越南,西贡",制片人 / 导演 / 编剧 / 演员 / 剪辑,Tsui Man-Kong (本名) / 서극 / Харк Цуй / ツイ・ハーク / Tsui Hark / Shyu Keh,徐文光(本名) / 徐老怪(昵称) / 老爷(尊称),施南生(前妻),,,
106,1007189,小田切让 Jô Odagiri,38166,男,水瓶座,1976年02月16日,"日本,冈山,津山",演员 / 导演 / 配音 / 编剧 / 音乐,Joe Odagiri / オダギリジョー / おだぎり じょう(假名) / Odagiri Jō,,香椎由宇(妻),,,
107,1007251,刘青云 Sean Lau,16827,男,水瓶座,1964年02月16日,"中国,香港",演员 / 配音,Sean Lau Ching-Wan / Ching Wan Lau / Sean Andy,,郭蔼明(妻),,,
108,1007401,廖凡 Fan Liao,18423,男,水瓶座,1974年02月14日,"中国,湖南",演员 / 主持人 / 其它,liaofan,凡仔(别名),霍昕(女友) / 廖丙炎(父),,,
109,1007442,秦怡 Yi Qin,551,女,水瓶座,,"中国,上海",演员 / 制片人 / 编剧 / 其它,Yí Qín,秦德和(原名),金焰(夫),,1922年01月31日 至 2022年5月9日,
110,1007512,郑欣宜 Joyce Cheng,348,女,双子座,1987年05月30日,"加拿大,温哥华",演员 / 配音,,,郑少秋(父) / 沈殿霞(母),,,
111,1007651,安达充 Mitsuru Adachi,468,,水瓶座,+1951年02月09日,"日本,群马县",编剧,あだち 充（日本）,,安达勉（兄）,,,
112,1007994,郭晋东 Ryan Kuo,538,男,水瓶座,1981年01月31日,中国台湾,演员,,郭鑫,,,,
113,1008068,凯瑟琳·海格尔 Katherine Heigl,4770,女,射手座,1978年11月24日,"美国,华盛顿哥伦比亚特区",演员 / 配音 / 制片人,Katherine Marie Heigl(本名) / Katie(昵称),凯瑟琳·玛莉·海格尔(本名),乔什·凯利(夫) / 杰森·贝尔(前男友),,,
114,1008069,奥兰多·布鲁姆 Orlando Bloom,30116,男,摩羯座,1977年01月13日,"英国,英格兰,肯特郡,坎特伯雷",演员 / 配音 / 制片人,Orlando Jonathan Blanchard Bloom(本名) / OB(昵称) / Orli(别名),奥兰多·布鲁 / 奥兰度·布林 / 开花(昵称),Flynn Bloom(子) / 米兰达·可儿(前妻) / Katy Perry(妻),,,
115,1008070,基努·里维斯 Keanu Reeves,60013,男,处女座,1964年09月02日,"黎巴嫩,贝鲁特",演员 / 制片人 / 配音 / 导演 / 编剧,Keanu Charles Reeves(本名) / The Wall(昵称) / The One(昵称) / Norman Kreeves / K.C. Reeves / Chuck Spidena,奇洛·李维斯 / 基奴·李维 / 基努·李维斯,山谬·里维(父) / 派翠西亚·泰勒(母) / 珍妮佛·賽姆(前女友) / 克莱尔·弗兰妮(前女友),,,
116,1008125,梁家仁 Ka-Yan Leung,969,,水瓶座,1949年01月20日,"中国,广东",演员 / 导演 / 编剧 / 制片人 / 副导演,,Bryan Leung,梁烈唯(侄子),,,
117,1008211,卡尔·斯康博克 Karl Schönböck,3,,水瓶座,,,演员 / 编剧,Karl Ludwig Josef Maria Schönböck (本名),,,,1909年02月04日 至 2001年03月24日,
118,1009107,高明 Ming Gao,654,男,水瓶座,1942年01月28日,"中国,江苏,淮阴",演员,,,段瑞芬(妻) / 高亮(子),,,
